std_id,acres,description
15588_1,57.2,Planted Longleaf Pine Forest
15588_10,9.88,Planted Loblolly Pine Forest
15588_100,14.26,Planted Longleaf Pine Forest
15588_101,13.02,Natural Loblolly Pine Forest
15588_102,19.04,Upland Hardwood Forest
15588_103,1.45,Mesic Hardwood Forest
15588_104,99.18,Planted Longleaf Pine Forest
15588_105,81.03,Natural Longleaf Pine Forest
15588_106,0.74,Nontimbered
15588_107,16.43,Upland Hardwood Forest
15588_108,18.7,Mesic Hardwood Forest
15588_109,16.75,Natural Longleaf Pine Forest
15588_11,12.25,Planted Loblolly Pine Forest
15588_111,51.5,Natural Longleaf Pine Forest
15588_112,127.35,Natural Longleaf Pine Forest
15588_113,22.75,Upland Hardwood Forest
15588_114,7.11,Natural Longleaf Pine Forest
15588_115,2.73,Natural Longleaf Pine Forest
15588_116,19.99,Upland Hardwood Forest
15588_117,112.99,Natural Longleaf Pine Forest
15588_118,7.71,Nontimbered
15588_118,329.14,Mesic Hardwood Forest
15588_119,24.61,Natural Longleaf Pine Forest
15588_12,28,Planted Loblolly Pine Forest
15588_120,98.39,Planted Loblolly Pine Forest
15588_121,1.03,Nontimbered
15588_123,7.19,Planted Longleaf Pine Forest
15588_124,37.56,Mesic Hardwood Forest
15588_125,60.96,Natural Longleaf Pine Forest
15588_126,53.57,Upland Hardwood Forest
15588_127,0.45,Nontimbered
15588_128,82.58,Planted Longleaf Pine Forest
15588_13,18.37,Natural Longleaf Pine Forest
15588_130,36.77,Planted Longleaf Pine Forest
15588_131,1.51,Nontimbered
15588_132,0.08,Nontimbered
15588_133,0.37,Nontimbered
15588_134,106.62,Planted Loblolly Pine Forest
15588_135,2.76,Nontimbered
15588_136,3.79,Planted Loblolly Pine Forest
15588_137,30.3,Natural Longleaf Pine Forest
15588_138,32.36,Planted Longleaf Pine Forest
15588_139,4.4,Upland Hardwood Forest
15588_14,18.71,Natural Loblolly Pine Forest
15588_140,7.93,Natural Longleaf Pine Forest
15588_141,26.94,Natural Longleaf Pine Forest
15588_142,0.17,Nontimbered
15588_143,0.7,Nontimbered
15588_144,10.61,Natural Longleaf Pine Forest
15588_145,12.16,Natural Longleaf Pine Forest
15588_146,12.95,Upland Hardwood Forest
15588_147,30.66,Planted Loblolly Pine Forest
15588_148,13.39,Planted Loblolly Pine Forest
15588_149,92.79,Planted Loblolly Pine Forest
15588_15,23.91,Natural Longleaf Pine Forest
15588_150,15.95,Natural Loblolly Pine Forest
15588_151,10.83,Planted Longleaf Pine Forest
15588_152,7.26,Planted Longleaf Pine Forest
15588_153,4.94,Natural Loblolly Pine Forest
15588_154,4.81,Planted Loblolly Pine Forest
15588_155,4.1,Natural Loblolly Pine Forest
15588_156,5.6,Natural Loblolly Pine Forest
15588_157,5.57,Mesic Hardwood Forest
15588_159,32.2,Natural Loblolly Pine Forest
15588_16,2.01,Natural Longleaf Pine Forest
15588_161,4.61,Mesic Hardwood Forest
15588_162,47.19,Natural Loblolly Pine Forest
15588_163,17.21,Natural Loblolly Pine Forest
15588_164,4.16,Natural Loblolly Pine Forest
15588_165,16.01,Natural Loblolly Pine Forest
15588_166,41.15,Natural Loblolly Pine Forest
15588_167,15.43,Natural Loblolly Pine Forest
15588_168,5,Natural Loblolly Pine Forest
15588_169,15.63,Upland Hardwood Forest
15588_17,35.38,Natural Loblolly Pine Forest
15588_170,12.12,Natural Loblolly Pine Forest
15588_173,31.69,Planted Loblolly Pine Forest
